10000,0
20000,999
30000,1001
40000,0
50000,1001
60000,1000
70000,0
80000,1000
90000,1000
100000,1000
110000,1000
120000,2000
130000,1000
140000,2003
150000,2002
160000,2001
170000,3000
180000,2001
190000,2001
200000,2001
210000,2001
220000,3001
230000,4000
240000,2999
250000,3001
260000,4001
270000,2999
280000,3001
290000,4004
300000,5000
310000,4000
320000,4001
330000,3999
340000,5001
350000,5002
360000,4999
370000,4999
380000,5001
390000,5002
400000,5999
410000,6002
420000,8002
430000,6001
440000,6999
450000,5001
460000,7000
470000,7004
480000,7000
490000,7001
500000,6002
510000,9002
520000,7999
530000,7000
540000,9000
550000,8001
560000,8000
570000,8002
580000,9000
590000,9999
600000,8999
610000,9001
620000,10002
630000,9002
640000,9001
650000,8998
660000,9999
670000,9999
680000,10000
690000,10000
700000,11001
710000,9999
720000,10003
730000,10001
740000,11000
750000,11000
760000,12997
770000,11001
780000,12003
790000,12001
800000,11999
810000,13001
820000,12003
830000,13001
840000,11999
850000,14001
860000,14001
870000,13001
880000,12001
890000,13000
900000,12999
910000,13001
920000,14002
930000,12998
940000,15000
950000,15001
960000,16000
970000,14005
980000,16002
990000,15002
1000000,14001
