10000,0
20000,999
30000,2000
40000,2001
50000,2999
60000,4001
70000,4002
80000,3999
90000,5000
100000,5000
110000,7001
120000,7001
130000,7002
140000,7998
150000,8001
160000,9001
170000,9000
180000,10001
190000,11001
200000,11001
210000,11000
220000,13002
230000,13002
240000,13001
250000,17000
260000,17001
270000,18001
280000,18003
290000,19000
300000,23001
310000,24002
320000,21002
330000,21002
340000,19003
350000,18999
360000,20002
370000,20002
380000,21000
390000,22002
400000,22002
410000,22002
420000,24003
430000,24999
440000,28003
450000,28003
460000,27001
470000,25001
480000,31004
490000,32003
500000,31002
510000,27002
520000,29003
530000,31001
540000,30002
550000,30002
560000,32002
570000,32004
580000,33046
590000,34958
600000,42003
610000,44003
620000,42003
630000,37002
640000,39004
650000,43004
660000,46002
670000,40004
680000,40004
690000,42001
700000,44005
710000,49003
720000,39003
730000,39004
740000,40002
750000,44003
760000,41002
770000,42005
780000,41002
790000,43002
800000,43004
810000,44005
820000,45002
830000,47004
840000,45003
850000,46003
860000,48003
870000,47004
880000,49004
890000,51003
900000,52005
910000,51004
920000,52003
930000,54004
940000,63004
950000,64005
960000,59004
970000,59005
980000,55003
990000,54004
1000000,55004
